iter	Passed	Remaining
399	81419	101774
400	81609	101554
401	81806	101342
402	82002	101129
403	82222	100945
404	82438	100758
405	82648	100562
406	82848	100354
407	83052	100151
408	83259	99952
409	83465	99751
410	83680	99561
411	83868	99338
412	84077	99141
413	84265	98920
414	84454	98699
415	84671	98512
416	84937	98381
417	85134	98169
418	85362	97994
419	85567	97791
420	85771	97587
421	85982	97392
422	86175	97176
423	86383	96977
424	86580	96766
425	86813	96595
426	87026	96401
427	87250	96220
428	87457	96019
429	87679	95835
430	87885	95634
431	88119	95462
432	88371	95310
433	88708	95248
434	88972	95109
435	89209	94938
436	89443	94764
437	89677	94591
438	89926	94432
439	90152	94250
440	90393	94083
441	90654	93935
442	90908	93781
443	91147	93611
444	91368	93421
445	91601	93244
446	91837	93069
447	92081	92903
448	92325	92736
449	92575	92575
450	92808	92396
451	93043	92220
452	93285	92049
453	93526	91878
454	93771	91710
455	94023	91549
456	94293	91404
457	94552	91248
458	94797	91079
459	95017	90886
460	95272	90725
461	95550	90587
462	95807	90427
463	96039	90244
464	96286	90074
465	96521	89893
466	96734	89691
467	96960	89502
468	97178	89305
469	97420	89129
470	97633	88927
471	97884	88759
472	98128	88585
473	98382	88419
474	98612	88232
475	98827	88030
476	99017	87808
477	99239	87613
478	99477	87431
479	99748	87279
480	100027	87133
481	100292	86975
482	100526	86790
483	100803	86640
484	101064	86478
485	101314	86304
486	101559	86127
487	101819	85961
488	102096	85810
489	102337	85629
490	102595	85461
491	102827	85271
492	103072	85091
493	103347	84937
494	103552	84725
495	103801	84547
496	104032	84356
497	104283	84181
498	104547	84014
499	104778	83822
500	105005	83627
501	105236	83434
502	105482	83253
503	105726	83071
504	105925	82852
505	106198	82692
506	106436	82503
507	106657	82302
508	106893	82112
509	107166	81950
510	107415	81770
511	107643	81573
512	107896	81395
513	108156	81222
514	108387	81027
515	108634	80844
516	108896	80672
517	109137	80483
518	109374	80292
519	109635	80118
520	109924	79964
521	110228	79820
522	110479	79637
523	110728	79454
524	110970	79264
525	111211	79074
526	111439	78874
527	111708	78703
528	111978	78532
529	112226	78346
530	112490	78171
531	112747	77991
532	112962	77780
533	113253	77623
534	113511	77442
535	113758	77253
536	113946	77025
537	114197	76838
538	114428	76639
539	114684	76456
540	114922	76260
541	115152	76060
542	115382	75858
543	115623	75665
544	115865	75471
545	116123	75289
546	116358	75090
547	116574	74880
548	116814	74684
549	117051	74487
550	117295	74294
551	117485	74067
552	117722	73869
553	117994	73693
554	118222	73489
555	118488	73309
556	118737	73118
557	118988	72928
558	119222	72727
559	119437	72515
560	119712	72339
561	119916	72120
562	120189	71942
563	120444	71754
564	120677	71551
565	120928	71360
566	121164	71159
567	121412	70966
568	121626	70752
569	121892	70569
570	122116	70361
571	122358	70163
572	122593	69961
573	122840	69766
574	123065	69558
575	123293	69352
576	123560	69167
577	123825	68982
578	124050	68774
579	124365	68615
580	124603	68413
581	124867	68226
582	125123	68034
583	125365	67834
584	125614	67638
585	125848	67434
586	126066	67221
587	126350	67043
588	126582	66837
589	126841	66645
590	127105	66456
591	127351	66257
592	127613	66066
593	127839	65856
594	128114	65672
595	128350	65467
596	128593	65265
597	128854	65073
598	129082	64864
599	129317	64658
600	129570	64462
601	129821	64263
602	130078	64068
603	130306	63858
604	130553	63658
605	130792	63453
606	131033	63250
607	131280	63049
608	131513	62841
609	131753	62636
610	131982	62426
611	132226	62224
612	132453	62013
613	132716	61819
614	132996	61632
615	133304	61458
616	133524	61243
617	133805	61056
618	134038	60847
619	134282	60643
620	134548	60449
621	134814	60254
622	135069	60054
623	135306	59847
624	135529	59632
