iter	RMSE
221	0.8647532119
222	0.8641729188
223	0.8633874703
224	0.8629607835
225	0.8619064086
226	0.8607182126
227	0.8602870226
228	0.859904134
229	0.8594964787
230	0.8591231189
231	0.8586101055
232	0.8581256641
233	0.8571693838
234	0.8568529034
235	0.8563891974
236	0.8555578014
237	0.8550441702
238	0.8541069874
239	0.8534636468
240	0.8531040358
241	0.8527105066
242	0.8518791811
243	0.8515470331
244	0.8511951188
245	0.8506457911
246	0.8501433773
247	0.8493314002
248	0.8489747294
249	0.8486536112
250	0.8482092068
251	0.847871575
252	0.8475549605
253	0.8470809865
254	0.846728363
255	0.8459535686
256	0.8450509047
257	0.8447797999
258	0.8443329481
259	0.8437456201
260	0.8430051426
261	0.842320406
262	0.8417259322
263	0.841387844
264	0.8407863062
265	0.8402407407
266	0.8396736483
267	0.8392132889
268	0.8386752785
269	0.838181454
270	0.8375871972
271	0.837221324
272	0.8369192987
273	0.8362159803
274	0.8358684497
275	0.835004857
276	0.8346981499
277	0.8340901698
278	0.8338323713
279	0.8332790843
280	0.8328191353
281	0.8321302534
282	0.8317136373
283	0.8312181965
284	0.8307171749
285	0.8301576353
286	0.829624846
287	0.8289143366
288	0.8285743618
289	0.828087459
290	0.8278216942
291	0.8270859978
292	0.8268858824
293	0.8265386176
294	0.8263020687
295	0.8258165878
296	0.8254411136
297	0.8250806018
298	0.824439094
299	0.8239000477
300	0.8235526223
301	0.8232080062
302	0.8227387403
303	0.8223698606
304	0.8220684668
305	0.8217364091
306	0.8212809475
307	0.8210473373
308	0.8206184334
309	0.820241631
310	0.8197505341
311	0.8194520792
312	0.8191153876
313	0.8188537422
314	0.8186018104
315	0.8181329742
316	0.8176957453
317	0.8173132848
318	0.8171039466
319	0.816605897
320	0.8160976669
321	0.8156735937
322	0.8152286237
323	0.8147944465
324	0.8141305488
325	0.8135051167
326	0.8132269593
327	0.8129184233
328	0.812634492
329	0.8123038399
330	0.8118059813
331	0.8113779409
332	0.8111146477
333	0.8108458361
334	0.8103680639
335	0.8096434937
336	0.8092675159
337	0.8088410579
338	0.8084764219
339	0.808084574
340	0.8076919261
341	0.8073493526
342	0.8071379207
343	0.8069071936
344	0.8065707891
345	0.8061588823
346	0.805617958
347	0.8051271805
348	0.8046766075
349	0.8042852287
350	0.8040036387
351	0.8036712524
352	0.8033251754
353	0.8030484061
354	0.802497278
355	0.8022173419
356	0.8019061732
357	0.801670948
358	0.8008233866
359	0.8005600975
360	0.7999072829
361	0.7994848603
362	0.799206965
363	0.7987019827
364	0.7984677433
365	0.7978207449
366	0.7976180281
367	0.7972873503
368	0.7969845561
369	0.7966663921
370	0.7964096171
371	0.7960005954
372	0.7957186994
373	0.7954875987
374	0.7950565262
375	0.7946378685
376	0.7943769282
377	0.7941851885
378	0.7938047269
379	0.7935035776
380	0.7932449264
381	0.7927947574
382	0.7924907312
383	0.7921203295
384	0.7918765204
385	0.7915017424
386	0.7912177519
387	0.790983171
388	0.7906443143
389	0.7903494772
390	0.7900067391
391	0.7897640283
392	0.7893678893
393	0.789103188
394	0.7885579111
395	0.7882777358
396	0.7879315352
397	0.7876156387
398	0.787412155
399	0.7870106337
400	0.7866291796
401	0.7864442879
402	0.7862576288
403	0.7860267958
404	0.7856774289
405	0.7853913146
406	0.7851276854
407	0.7848913698
408	0.7845580504
409	0.7843124119
410	0.7839305138
411	0.7837625871
412	0.7834747326
413	0.7832575097
414	0.7829263929
415	0.7826319297
416	0.78232692
417	0.7820370701
418	0.7817206714
419	0.7814077659
420	0.7811448558
421	0.7808037442
422	0.7805060871
423	0.7803225932
424	0.7799849523
425	0.779728209
426	0.779522088
427	0.7792541316
428	0.7789703834
429	0.7785131025
430	0.7782796469
431	0.7779866115
432	0.7777526629
433	0.777514509
434	0.777258405
435	0.7770256986
436	0.776645165
437	0.7763713777
438	0.7761148785
439	0.7759663171
440	0.7757562284
441	0.7755324609
442	0.775236545
443	0.7749368714
444	0.7745752041
445	0.774363689
446	0.7741548736
447	0.7738925547
448	0.7736414494
449	0.7731827018
450	0.7729235849
451	0.7726768635
452	0.7723335125
453	0.7720707789
454	0.7717983329
455	0.7715895462
456	0.7714081283
457	0.7712330593
458	0.7710700248
459	0.7708121955
460	0.7705020304
461	0.7701814347
462	0.7698612932
463	0.7696857028
464	0.7693983936
465	0.7691241154
466	0.7687110605
467	0.7685494105
468	0.768375611
469	0.7681689787
470	0.7679131753
471	0.7675656757
472	0.767382029
473	0.7668598512
474	0.7666298188
475	0.7664485923
476	0.766244742
477	0.7660755882
478	0.765871817
479	0.7656966963
480	0.7654230468
481	0.7651608667
482	0.7648903513
483	0.7645579654
484	0.7643127982
485	0.764125309
486	0.7639329047
487	0.7637599697
488	0.7635630141
489	0.7633192812
490	0.7631365184
491	0.7629575323
492	0.7626999248
493	0.762504553
494	0.7623148317
495	0.7620673707
496	0.7619024178
497	0.7617097862
498	0.7614655966
499	0.7612484319
500	0.7609755815
501	0.7607156824
502	0.7605060332
503	0.7602527661
504	0.7600486441
505	0.7597491855
506	0.7595787334
507	0.7594487562
508	0.7592268935
509	0.7588839025
510	0.7585373495
511	0.7583232546
512	0.7581200429
513	0.757981029
514	0.75774841
515	0.757444127
516	0.7571831932
517	0.7570001223
518	0.7567108832
519	0.7565262311
520	0.7563473601
521	0.7561839228
522	0.7559710918
523	0.7558292625
524	0.7555971645
525	0.7553867946
526	0.755174223
527	0.7549782361
528	0.7547597878
529	0.7545202379
530	0.7542679867
531	0.7540465011
532	0.7538256445
533	0.7535782535
534	0.7533469984
535	0.7529579043
536	0.7528251371
537	0.7526452028
538	0.7524718569
539	0.7522937129
540	0.7520966625
541	0.7518356653
542	0.7516699153
543	0.7514168531
544	0.7512062554
545	0.7509900625
546	0.7508670957
547	0.7507168672
548	0.7504578177
549	0.7502791118
550	0.7501380207
551	0.7500016431
552	0.749749952
553	0.7495600956
554	0.7493097426
555	0.7491455818
556	0.7489746481
557	0.7488127519
558	0.7486002033
559	0.7484710676
560	0.7483571979
561	0.7481997054
562	0.7479990988
563	0.7477680983
564	0.7475882026
565	0.7473751351
566	0.747213347
567	0.7470851239
568	0.7469023972
569	0.7467947321
570	0.7466429787
571	0.7464910274
572	0.7463173576
573	0.7461274746
574	0.7459088411
575	0.7456913695
576	0.7454855588
577	0.7452972557
578	0.7451555991
579	0.7450100432
580	0.7448772099
581	0.7447231758
582	0.7445402914
583	0.7443770661
584	0.7442207964
585	0.7440925359
586	0.7439432827
587	0.7438199722
588	0.7436108076
589	0.7434159922
590	0.7432810203
591	0.7430000307
592	0.7427767383
593	0.7426085554
594	0.7424884614
595	0.7423652581
596	0.7422054702
597	0.7420342352
598	0.7418931284
599	0.7416821114
600	0.7415055946
601	0.7413855539
602	0.7412082044
603	0.7410345142
604	0.7409142989
605	0.7407798474
606	0.7405796453
607	0.7403945999
608	0.7402552544
609	0.7400965974
610	0.7399034763
611	0.7397272645
612	0.7395574169
613	0.7393364214
614	0.7391843244
615	0.7390664929
616	0.7388397752
617	0.7386366823
618	0.7384439097
619	0.7382528411
620	0.7380012289
621	0.7378843753
622	0.7377522893
623	0.7376140293
624	0.7374496358
625	0.7373478801
626	0.7372203631
627	0.7371442015
628	0.7370178176
629	0.7369167508
630	0.7367002526
631	0.7364585489
632	0.7363005049
633	0.7361901089
634	0.7360416151
635	0.7358939663
636	0.7357903952
637	0.735641796
638	0.735545466
639	0.7354393982
640	0.7353304415
641	0.7349786407
642	0.7347694398
643	0.7345146774
644	0.7343114568
645	0.7341597526
646	0.7339636545
647	0.7338511654
648	0.733628885
649	0.7335238523
650	0.7334147336
651	0.7332392436
652	0.733092244
653	0.7329613788
654	0.7328419888
655	0.73267226
656	0.7324942058
657	0.7323145053
658	0.732200386
659	0.7321268342
660	0.7318886342
661	0.7317659272
662	0.7315815756
663	0.7314538097
664	0.7313224159
665	0.7311583191
666	0.7310294985
667	0.7308958984
668	0.7307709556
669	0.730653809
670	0.7305146264
671	0.7303664731
672	0.730119992
673	0.7300169291
674	0.729862905
675	0.7297609206
676	0.7295593081
677	0.7294280271
678	0.7292913473
679	0.7292041484
680	0.7290463281
681	0.7289010746
682	0.7287396234
683	0.7286358541
684	0.7284825957
685	0.7283853802
686	0.728262066
687	0.7281155609
688	0.72797514
689	0.72783128
690	0.7276779231
691	0.7274255825
692	0.7272787305
693	0.7271280093
694	0.7269690719
695	0.7268183256
696	0.7266381334
697	0.7265145198
698	0.7263613404
699	0.7262768058
700	0.7261716993
701	0.7260320944
702	0.7258386079
703	0.7257330403
704	0.7256134935
705	0.7254332044
706	0.7252675171
707	0.725157543
708	0.7250520661
709	0.7248716243
710	0.7247601355
711	0.7245927519
712	0.7244411874
713	0.724275582
714	0.7240715941
715	0.7239401675
716	0.7238188527
717	0.7236097108
718	0.723511009
719	0.7234482541
720	0.7232819317
721	0.7231484559
722	0.723031867
723	0.7229014336
724	0.7227722806
725	0.7226411467
726	0.7224774839
727	0.7223603885
728	0.7222325163
729	0.7221352448
730	0.7219228596
731	0.7218330921
732	0.7216864264
733	0.721619803
734	0.7214902208
735	0.7213584963
736	0.7212465844
737	0.7211729526
738	0.7210202963
739	0.7209073395
740	0.7208004696
741	0.7206976178
742	0.7205948302
743	0.7205213486
744	0.7204279017
745	0.7202994842
746	0.7200692559
747	0.7199568798
748	0.7198946439
749	0.7197795447
750	0.7196782931
751	0.7196020204
752	0.7194834316
753	0.7193447487
754	0.7192505694
755	0.7190998183
756	0.7189606163
757	0.7188159246
758	0.7186832409
759	0.7184971604
760	0.7184035602
761	0.7182817073
762	0.7181831755
763	0.7181103157
764	0.7180280137
765	0.7179338845
766	0.717638859
767	0.7174887019
768	0.7173864936
769	0.7173049045
770	0.7171399259
771	0.7170294943
772	0.7167993627
773	0.7166749148
774	0.7165712709
775	0.7164237064
776	0.716356964
777	0.7162518917
778	0.7161510616
779	0.7160071248
780	0.7158547553
781	0.7157949467
782	0.7157296913
783	0.7156150967
784	0.715401833
785	0.7153091735
786	0.7152279737
787	0.7151360705
788	0.7150362009
789	0.7148589744
790	0.7147731402
791	0.71471281
792	0.7146495551
793	0.7144735339
794	0.7143746508
795	0.7142656426
796	0.7141802516
797	0.7140110467
798	0.7138640543
799	0.7137547615
800	0.7136540368
801	0.7135759513
802	0.7134433932
803	0.7132700581
804	0.7132114733
805	0.7131188085
806	0.7129982265
807	0.7128902736
808	0.712701476
809	0.7125779172
810	0.7124746987
811	0.7123901083
812	0.7122943208
813	0.7121835433
814	0.7120874953
815	0.7120383509
816	0.7119514216
817	0.7118513504
818	0.7117096335
819	0.711616885
820	0.7115180753
821	0.7114275946
822	0.7113457315
823	0.71121005
824	0.7110463824
825	0.7109293008
826	0.7108033937
827	0.7107454861
828	0.7106299281
829	0.7105460382
830	0.7104829462
831	0.7104170705
832	0.7103357279
833	0.710288533
834	0.7101988406
835	0.7100558338
836	0.7100110725
837	0.7099166991
838	0.7098236783
839	0.7097113033
840	0.7095863926
841	0.7094962252
842	0.7093787035
843	0.7092777402
844	0.7091586633
845	0.7090324543
846	0.7088825747
847	0.7088038789
848	0.7087134085
849	0.7085993459
850	0.7085109129
851	0.7084620811
852	0.7083229778
853	0.7081955573
854	0.7081089481
855	0.7079615848
856	0.7078780974
857	0.7077694604
858	0.7076706683
859	0.707615512
860	0.7075087328
861	0.7074263369
862	0.7073468729
863	0.7072613002
864	0.7071620973
865	0.7070164436
866	0.7069059361
867	0.7068530599
868	0.7067581663
869	0.706698824
870	0.7065927555
871	0.7064575205
872	0.7063490805
873	0.7062389252
874	0.7061541567
875	0.7060566785
876	0.7058918154
877	0.7057574499
878	0.7056723138
879	0.7055795913
880	0.7055063132
881	0.7054081426
882	0.7052968334
883	0.7051895808
884	0.705040391
885	0.7049328202
886	0.704887032
887	0.7047837486
888	0.7047098091
889	0.7045802082
890	0.7044769239
891	0.7043936138
892	0.7043165935
893	0.7042108111
894	0.7041621725
895	0.704085282
896	0.7039965903
897	0.7039067547
898	0.703822533
899	0.7036723033
